"C24010_001E","C24010_001M","C24010_002E","C24010_002M","C24010_003E","C24010_003M","C24010_004E","C24010_004M","C24010_005E","C24010_005M","C24010_006E","C24010_006M","C24010_007E","C24010_007M","C24010_008E","C24010_008M","C24010_009E","C24010_009M","C24010_010E","C24010_010M","C24010_011E","C24010_011M","C24010_012E","C24010_012M","C24010_013E","C24010_013M","C24010_014E","C24010_014M","C24010_015E","C24010_015M","C24010_016E","C24010_016M","C24010_017E","C24010_017M","C24010_018E","C24010_018M","C24010_019E","C24010_019M","C24010_020E","C24010_020M","C24010_021E","C24010_021M","C24010_022E","C24010_022M","C24010_023E","C24010_023M","C24010_024E","C24010_024M","C24010_025E","C24010_025M","C24010_026E","C24010_026M","C24010_027E","C24010_027M","C24010_028E","C24010_028M","C24010_029E","C24010_029M","C24010_030E","C24010_030M","C24010_031E","C24010_031M","C24010_032E","C24010_032M","C24010_033E","C24010_033M","C24010_034E","C24010_034M","C24010_035E","C24010_035M","C24010_036E","C24010_036M","C24010_037E","C24010_037M","C24010_038E","C24010_038M","C24010_039E","C24010_039M","C24010_040E","C24010_040M","C24010_041E","C24010_041M","C24010_042E","C24010_042M","C24010_043E","C24010_043M","C24010_044E","C24010_044M","C24010_045E","C24010_045M","C24010_046E","C24010_046M","C24010_047E","C24010_047M","C24010_048E","C24010_048M","C24010_049E","C24010_049M","C24010_050E","C24010_050M","C24010_051E","C24010_051M","C24010_052E","C24010_052M","C24010_053E","C24010_053M","C24010_054E","C24010_054M","C24010_055E","C24010_055M","C24010_056E","C24010_056M","C24010_057E","C24010_057M","C24010_058E","C24010_058M","C24010_059E","C24010_059M","C24010_060E","C24010_060M","C24010_061E","C24010_061M","C24010_062E","C24010_062M","C24010_063E","C24010_063M","C24010_064E","C24010_064M","C24010_065E","C24010_065M","C24010_066E","C24010_066M","C24010_067E","C24010_067M","C24010_068E","C24010_068M","C24010_069E","C24010_069M","C24010_070E","C24010_070M","C24010_071E","C24010_071M","C24010_072E","C24010_072M","C24010_073E","C24010_073M","GEO_ID","NAME"
"564","162","283","87","113","61","52","43","52","43","0","12","45","41","16","24","29","33","0","12","0","12","0","12","0","12","0","12","0","12","16","24","16","24","0","12","17","28","0","12","17","28","17","28","0","12","0","12","0","12","0","12","77","73","61","68","16","26","76","60","0","12","38","30","38","56","0","12","0","12","0","12","0","12","281","120","55","45","11","19","11","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","44","46","14","23","30","38","54","61","0","12","0","12","0","12","0","12","16","26","0","12","38","56","172","99","73","74","99","77","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530725054","Block Group 4, Census Tract 725.05, Pierce County, Washington"
"396","116","192","60","81","38","22","22","22","22","0","12","28","27","28","27","0","12","0","12","5","8","5","8","0","12","0","12","0","12","26","22","26","22","0","12","14","18","0","12","4","7","0","12","4","7","0","12","10","16","0","12","24","23","7","11","17","20","32","43","0","12","5","8","27","42","41","35","32","31","9","14","0","12","204","71","122","51","41","31","27","26","14","17","0","12","0","12","0","12","0","12","37","43","8","14","0","12","29","41","0","12","44","25","16","18","28","24","42","36","0","12","9","16","9","16","0","12","14","22","8","15","11","18","40","33","20","26","20","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530725061","Block Group 1, Census Tract 725.06, Pierce County, Washington"
"1022","237","539","146","306","102","148","74","103","65","45","43","46","35","25","28","21","21","0","12","43","34","10","15","20","22","13","18","0","12","69","61","47","31","22","36","31","26","0","12","20","21","9","12","11","17","11","17","0","12","0","12","63","46","42","40","21","23","47","39","0","12","47","39","0","12","92","44","19","18","68","39","5","10","483","123","282","95","155","69","120","56","35","39","14","22","14","22","0","12","0","12","57","38","9","14","20","22","28","23","0","12","56","40","52","39","4","6","42","35","0","12","10","17","10","17","0","12","17","22","0","12","15","18","117","62","61","41","56","40","13","18","0","12","0","12","13","18","29","46","0","12","29","46","0","12","1500000US530530725062","Block Group 2, Census Tract 725.06, Pierce County, Washington"
"423","158","225","66","135","52","37","35","30","35","7","12","47","36","10","15","0","12","37","33","40","38","26","35","7","10","7","11","0","12","11","19","11","19","0","12","21","25","0","12","0","12","0","12","0","12","12","19","9","16","0","12","29","36","29","36","0","12","22","36","0","12","22","36","0","12","18","21","0","12","18","21","0","12","198","115","181","115","87","80","42","34","45","72","23","32","23","32","0","12","0","12","65","75","0","12","0","12","43","41","22","36","6","12","6","12","0","12","6","11","0","12","0","12","0","12","0","12","0","12","0","12","6","11","11","14","0","12","11","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530725071","Block Group 1, Census Tract 725.07, Pierce County, Washington"
"647","138","275","72","139","61","108","48","87","43","21","24","21","34","21","34","0","12","0","12","10","14","0","12","8","13","2","5","0","12","0","12","0","12","0","12","67","39","21","31","22","19","0","12","22","19","8","12","16","17","0","12","31","28","21","24","10","12","29","34","0","12","13","25","16","24","9","13","0","12","9","13","0","12","372","97","129","75","13","14","0","12","13","14","6","9","0","12","6","9","0","12","53","56","0","12","0","12","0","12","53","56","57","42","25","32","32","39","124","58","22","24","2","4","2","4","0","12","82","53","18","19","0","12","95","49","27","29","68","42","0","12","0","12","0","12","0","12","24","26","0","12","9","14","15","22","1500000US530530725072","Block Group 2, Census Tract 725.07, Pierce County, Washington"
"1219","233","741","161","135","76","86","59","86","59","0","12","42","52","5","8","37","51","0","12","0","12","0","12","0","12","0","12","0","12","7","11","0","12","7","11","150","88","0","12","38","33","21","26","17","20","54","62","49","49","9","14","102","65","71","59","31","28","233","98","0","12","121","87","112","77","121","69","52","38","56","47","13","20","478","108","177","89","73","71","64","69","9","14","0","12","0","12","0","12","0","12","51","38","21","30","0","12","30","24","0","12","53","58","26","42","27","42","160","96","25","26","10","16","10","16","0","12","0","12","9","14","116","87","135","59","22","21","113","62","0","12","0","12","0","12","0","12","6","10","0","12","0","12","6","10","1500000US530530726011","Block Group 1, Census Tract 726.01, Pierce County, Washington"
"490","150","260","92","54","35","26","24","18","20","8","13","20","31","0","12","20","31","0","12","8","13","0","12","0","12","8","13","0","12","0","12","0","12","0","12","81","72","0","12","20","22","10","16","10","14","29","32","27","40","5","9","58","49","21","21","37","46","35","29","0","12","17","19","18","21","32","26","24","21","8","14","0","12","230","83","145","68","63","52","57","53","6","10","23","24","12","18","0","12","11","16","48","34","5","9","9","14","34","30","0","12","11","16","0","12","11","16","10","16","0","12","0","12","0","12","0","12","10","16","0","12","0","12","65","47","17","26","48","35","0","12","0","12","0","12","0","12","10","16","0","12","10","16","0","12","1500000US530530726012","Block Group 2, Census Tract 726.01, Pierce County, Washington"
"643","146","343","88","122","66","97","64","97","64","0","12","0","12","0","12","0","12","0","12","15","17","6","9","0","12","9","15","0","12","10","15","10","15","0","12","33","45","0","12","0","12","0","12","0","12","23","43","0","12","10","16","58","37","49","36","9","14","97","53","20","24","68","49","9","14","33","31","20","24","0","12","13","20","300","92","98","54","14","16","6","10","8","12","9","13","9","13","0","12","0","12","47","47","0","12","9","16","38","44","0","12","28","24","10","15","18","18","57","52","37","47","0","12","0","12","0","12","8","14","0","12","12","18","118","70","29","25","89","64","27","36","0","12","27","36","0","12","0","12","0","12","0","12","0","12","1500000US530530726013","Block Group 3, Census Tract 726.01, Pierce County, Washington"
"432","117","244","80","70","41","37","28","29","25","8","13","16","18","0","12","16","18","0","12","17","21","0","12","0","12","17","21","0","12","0","12","0","12","0","12","69","45","0","12","29","29","15","17","14","23","0","12","40","36","0","12","12","18","12","18","0","12","69","71","41","66","14","22","14","20","24","25","9","13","15","22","0","12","188","61","90","50","41","35","37","33","4","8","19","26","19","26","0","12","0","12","21","24","6","9","0","12","15","22","0","12","9","13","9","13","0","12","57","34","0","12","14","22","0","12","14","22","7","11","0","12","36","24","41","32","8","12","33","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530726021","Block Group 1, Census Tract 726.02, Pierce County, Washington"
"600","177","388","144","89","56","53","39","45","33","8","14","9","13","4","8","5","8","0","12","27","42","0","12","0","12","0","12","27","42","0","12","0","12","0","12","152","118","0","12","101","70","8","14","93","68","0","12","0","12","51","64","58","50","39","46","19","20","32","23","0","12","0","12","32","23","57","54","35","42","22","34","0","12","212","77","125","57","54","46","54","46","0","12","12","15","0","12","12","15","0","12","33","28","0","12","0","12","24","25","9","14","26","29","26","29","0","12","56","40","0","12","9","14","9","14","0","12","10","15","0","12","37","34","22","32","22","32","0","12","0","12","0","12","0","12","0","12","9","14","0","12","0","12","9","14","1500000US530530726022","Block Group 2, Census Tract 726.02, Pierce County, Washington"
"558","208","314","138","109","79","42","54","37","53","5","8","25","26","0","12","16","22","9","14","14","22","0","12","14","22","0","12","0","12","28","45","28","45","0","12","17","24","0","12","0","12","0","12","0","12","10","17","0","12","7","16","41","45","32","42","9","15","80","66","0","12","53","51","27","44","67","53","0","12","67","53","0","12","244","94","112","81","35","46","0","12","35","46","0","12","0","12","0","12","0","12","52","63","0","12","47","62","0","12","5","8","25","25","9","14","16","22","61","52","0","12","23","39","0","12","23","39","0","12","0","12","38","33","55","47","0","12","55","47","1","2","0","12","0","12","1","2","15","24","0","12","15","24","0","12","1500000US530530726023","Block Group 3, Census Tract 726.02, Pierce County, Washington"
"293","136","155","99","61","66","61","66","61","66","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","94","83","0","12","94","83","0","12","0","12","0","12","0","12","0","12","138","97","95","87","68","78","26","32","42","68","0","12","0","12","0","12","0","12","12","20","0","12","0","12","0","12","12","20","15","30","15","30","0","12","43","41","0","12","0","12","0","12","0","12","28","33","15","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530726031","Block Group 1, Census Tract 726.03, Pierce County, Washington"
"337","169","178","98","39","46","39","46","16","23","23","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","75","76","0","12","17","32","17","32","0","12","20","31","38","62","0","12","14","22","0","12","14","22","50","44","0","12","0","12","50","44","0","12","0","12","0","12","0","12","159","84","46","45","9","15","9","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","41","15","20","22","30","58","69","19","30","0","12","0","12","0","12","0","12","39","62","0","12","55","42","13","21","42","37","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530726032","Block Group 2, Census Tract 726.03, Pierce County, Washington"
"322","118","148","67","72","50","18","23","18","23","0","12","0","12","0","12","0","12","0","12","20","31","20","31","0","12","0","12","0","12","34","33","34","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","33","26","29","11","19","14","22","0","12","0","12","14","22","25","29","12","19","0","12","13","22","174","70","90","55","14","24","0","12","14","24","0","12","0","12","0","12","0","12","45","39","0","12","0","12","13","20","32","35","31","33","16","26","15","24","46","42","0","12","0","12","0","12","0","12","19","32","16","26","11","18","38","36","13","22","25","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530726033","Block Group 3, Census Tract 726.03, Pierce County, Washington"
"546","192","342","140","121","60","52","36","31","25","21","26","8","15","8","15","0","12","0","12","61","49","47","42","0","12","0","12","14","23","0","12","0","12","0","12","79","106","0","12","0","12","0","12","0","12","0","12","41","64","38","60","75","73","57","68","18","30","35","41","0","12","35","41","0","12","32","46","21","40","0","12","11","19","204","102","53","47","28","33","0","12","28","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","25","30","9","15","16","26","69","70","0","12","0","12","0","12","0","12","15","23","12","19","42","62","82","75","29","36","53","65","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530726034","Block Group 4, Census Tract 726.03, Pierce County, Washington"
"66","152","66","152","14","34","7","17","7","17","0","12","0","12","0","12","0","12","0","12","7","17","7","17","0","12","0","12","0","12","0","12","0","12","0","12","30","68","0","12","0","12","0","12","0","12","7","17","23","51","0","12","8","17","0","12","8","17","7","17","0","12","7","17","0","12","7","17","7","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530726035","Block Group 5, Census Tract 726.03, Pierce County, Washington"
"1845","447","882","240","361","119","176","99","95","64","81","80","82","49","43","43","39","39","0","17","65","53","15","25","0","17","50","48","0","17","38","35","9","15","29","32","88","73","0","17","77","73","34","41","43","58","11","18","0","17","0","17","245","117","63","51","182","105","41","39","0","17","41","39","0","17","147","107","133","103","14","22","0","17","963","251","660","189","163","78","118","65","45","37","69","75","40","63","29","34","0","17","193","110","34","42","0","17","117","86","42","55","235","120","198","102","37","44","155","105","11","17","11","18","0","17","11","18","116","87","0","17","17","30","129","81","53","54","76","56","0","17","0","17","0","17","0","17","19","21","19","21","0","17","0","17","1500000US530530728001","Block Group 1, Census Tract 728, Pierce County, Washington"
"1245","235","688","173","370","120","156","96","102","82","54","55","65","54","19","32","46","43","0","12","82","66","21","32","9","17","52","56","0","12","67","78","20","32","47","72","73","57","9","14","39","44","19","28","20","32","11","17","14","23","0","12","134","81","43","55","91","53","67","73","0","12","57","70","10","16","44","43","0","12","44","43","0","12","557","150","297","131","83","57","25","27","58","51","27","30","0","12","15","24","12","21","88","59","11","18","21","36","56","39","0","12","99","105","88","104","11","17","87","63","29","49","0","12","0","12","0","12","13","22","14","24","31","34","173","82","37","37","136","81","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530728002","Block Group 2, Census Tract 728, Pierce County, Washington"
"586","114","304","91","73","52","35","33","27","31","8","12","0","12","0","12","0","12","0","12","20","23","0","12","5","9","15","21","0","12","18","23","12","19","6","12","49","38","0","12","27","29","12","17","15","24","9","14","0","12","13","19","43","33","0","12","43","33","87","54","0","12","13","15","74","53","52","60","0","12","52","60","0","12","282","81","112","55","31","33","24","28","7","10","12","18","0","12","0","12","12","18","21","18","0","12","0","12","21","18","0","12","48","41","39","39","9","13","56","33","20","21","0","12","0","12","0","12","13","11","3","5","20","21","98","56","19","19","79","57","0","12","0","12","0","12","0","12","16","21","0","12","13","21","3","6","1500000US530530729011","Block Group 1, Census Tract 729.01, Pierce County, Washington"
"437","93","243","70","64","38","15","15","15","15","0","12","13","20","0","12","0","12","13","20","23","27","0","12","0","12","23","27","0","12","13","16","6","9","7","14","29","32","0","12","17","25","13","21","4","6","0","12","0","12","12","19","38","32","14","16","24","27","88","56","0","12","53","49","35","30","24","27","15","23","9","10","0","12","194","65","55","42","30","30","21","23","9","14","0","12","0","12","0","12","0","12","25","25","0","12","6","9","19","23","0","12","0","12","0","12","0","12","19","22","3","6","3","6","0","12","3","6","13","20","0","12","0","12","103","37","5","8","98","36","0","12","0","12","0","12","0","12","17","20","0","12","12","19","5","7","1500000US530530729031","Block Group 1, Census Tract 729.03, Pierce County, Washington"
"600","184","236","98","43","42","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","40","34","40","0","12","0","12","0","12","9","15","0","12","9","15","42","52","0","12","42","52","0","12","42","52","0","12","0","12","0","12","10","15","0","12","10","15","100","87","0","12","0","12","100","87","41","48","41","48","0","12","0","12","364","163","89","44","56","49","23","37","33","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","39","20","31","13","23","177","145","8","12","5","10","0","12","5","10","91","84","6","10","67","77","89","68","41","52","48","47","9","14","0","12","9","14","0","12","0","12","0","12","0","12","0","12","1500000US530530729051","Block Group 1, Census Tract 729.05, Pierce County, Washington"
"191","144","99","80","39","54","32","52","32","52","0","12","7","13","7","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","53","0","12","33","53","0","12","0","12","0","12","0","12","27","33","17","25","0","12","10","18","92","68","34","47","27","45","0","12","27","45","0","12","0","12","0","12","0","12","7","12","7","12","0","12","0","12","0","12","0","12","0","12","0","12","31","30","0","12","15","22","0","12","15","22","0","12","0","12","16","25","27","43","0","12","27","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530729052","Block Group 2, Census Tract 729.05, Pierce County, Washington"
"307","134","200","104","26","41","0","12","0","12","0","12","26","41","0","12","26","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","67","58","34","52","33","37","107","84","0","12","58","62","49","56","0","12","0","12","0","12","0","12","107","71","67","63","40","52","33","50","7","12","0","12","0","12","0","12","0","12","15","23","15","23","0","12","0","12","0","12","12","19","0","12","12","19","18","21","10","16","0","12","0","12","0","12","0","12","8","13","0","12","22","22","0","12","22","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530729053","Block Group 3, Census Tract 729.05, Pierce County, Washington"
"57","43","48","33","4","5","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","5","4","5","0","12","0","12","0","12","0","12","0","12","0","12","40","32","5","11","35","30","0","12","35","30","0","12","0","12","0","12","0","12","0","12","0","12","4","5","0","12","0","12","4","5","0","12","0","12","0","12","0","12","9","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","18","0","12","9","18","0","12","9","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530729061","Block Group 1, Census Tract 729.06, Pierce County, Washington"
"75","75","35","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","6","0","12","0","12","0","12","0","12","4","6","0","12","0","12","18","36","0","12","18","36","13","19","0","12","0","12","13","19","0","12","0","12","0","12","0","12","40","37","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","40","37","0","12","40","37","0","12","1500000US530530729062","Block Group 2, Census Tract 729.06, Pierce County, Washington"
"338","144","200","102","25","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","25","39","0","12","0","12","0","12","25","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","59","61","0","12","59","61","105","77","0","12","25","41","80","74","11","18","0","12","0","12","11","18","138","75","43","51","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","16","0","12","0","12","10","16","0","12","33","50","0","12","33","50","86","61","29","45","39","40","7","14","32","38","0","12","0","12","18","21","9","15","0","12","9","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530729071","Block Group 1, Census Tract 729.07, Pierce County, Washington"
"758","187","327","126","101","80","43","42","15","17","28","45","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","58","64","0","12","58","64","19","24","0","12","19","24","0","12","19","24","0","12","0","12","0","12","76","67","51","55","25","40","121","80","0","12","68","39","53","62","10","15","10","15","0","12","0","12","431","117","162","75","30","46","30","46","0","12","30","48","0","12","30","48","0","12","93","78","0","12","0","12","83","76","10","16","9","16","0","12","9","16","52","37","15","17","0","12","0","12","0","12","10","18","0","12","27","27","177","114","125","108","52","35","0","12","0","12","0","12","0","12","40","41","0","12","40","41","0","12","1500000US530530729072","Block Group 2, Census Tract 729.07, Pierce County, Washington"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530729073","Block Group 3, Census Tract 729.07, Pierce County, Washington"
"351","148","235","97","28","30","0","12","0","12","0","12","13","20","13","20","0","12","0","12","15","23","15","23","0","12","0","12","0","12","0","12","0","12","0","12","20","32","0","12","0","12","0","12","0","12","0","12","20","32","0","12","28","31","11","16","17","26","35","32","0","12","0","12","35","32","124","74","59","47","14","21","51","41","116","64","61","52","10","17","10","17","0","12","0","12","0","12","0","12","0","12","28","30","15","23","0","12","13","20","0","12","23","27","0","12","23","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","55","40","0","12","55","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530730011","Block Group 1, Census Tract 730.01, Pierce County, Washington"
"633","255","308","124","12","19","0","12","0","12","0","12","12","19","0","12","12","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","31","50","0","12","31","50","31","50","0","12","0","12","0","12","0","12","32","34","32","34","0","12","157","101","0","12","115","96","42","48","76","97","0","12","57","91","19","29","325","157","119","74","31","48","31","48","0","12","0","12","0","12","0","12","0","12","34","38","0","12","0","12","34","38","0","12","54","69","54","69","0","12","88","86","0","12","50","81","0","12","50","81","0","12","23","36","15","23","27","30","0","12","27","30","55","68","0","12","0","12","55","68","36","40","20","31","16","24","0","12","1500000US530530730012","Block Group 2, Census Tract 730.01, Pierce County, Washington"
"866","314","459","149","51","34","25","28","0","12","25","28","13","20","13","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","20","13","20","0","12","55","49","0","12","37","40","37","40","0","12","18","28","0","12","0","12","10","15","10","15","0","12","146","122","0","12","44","68","102","103","197","129","54","81","143","103","0","12","407","203","255","195","97","88","42","39","55","82","0","12","0","12","0","12","0","12","119","180","45","74","0","12","74","107","0","12","39","37","39","37","0","12","33","36","18","27","0","12","0","12","0","12","0","12","0","12","15","23","107","59","70","60","37","34","0","12","0","12","0","12","0","12","12","19","0","12","12","19","0","12","1500000US530530730013","Block Group 3, Census Tract 730.01, Pierce County, Washington"
"507","168","225","87","140","81","99","76","99","76","0","12","0","12","0","12","0","12","0","12","41","35","0","12","0","12","26","27","15","24","0","12","0","12","0","12","15","23","0","12","0","12","0","12","0","12","0","12","15","23","0","12","0","12","0","12","0","12","70","46","0","12","57","45","13","20","0","12","0","12","0","12","0","12","282","120","94","59","41","36","41","36","0","12","0","12","0","12","0","12","0","12","35","39","0","12","0","12","35","39","0","12","18","28","0","12","18","28","71","52","31","36","0","12","0","12","0","12","12","21","13","19","15","23","87","71","52","64","35","36","30","34","0","12","30","34","0","12","0","12","0","12","0","12","0","12","1500000US530530730014","Block Group 4, Census Tract 730.01, Pierce County, Washington"
"359","103","179","58","70","36","34","30","11","15","23","26","10","9","6","7","2","4","2","4","10","9","4","6","0","12","5","6","1","3","16","18","12","17","4","6","3","4","0","12","3","4","0","12","3","4","0","12","0","12","0","12","37","24","31","24","6","8","39","26","0","12","10","11","29","24","30","22","8","8","8","12","14","15","180","61","68","36","26","20","21","21","5","6","12","21","0","12","0","12","12","21","19","14","5","6","0","12","14","12","0","12","11","11","11","11","0","12","54","34","15","16","0","12","0","12","0","12","0","12","21","24","18","18","43","22","10","11","33","20","15","23","0","12","0","12","15","23","0","12","0","12","0","12","0","12","1500000US530530730015","Block Group 5, Census Tract 730.01, Pierce County, Washington"
"420","145","170","96","44","40","30","35","14","24","16","25","0","12","0","12","0","12","0","12","14","22","14","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","68","74","0","12","52","83","16","25","58","52","58","52","0","12","0","12","250","104","129","71","24","39","24","39","0","12","20","33","20","33","0","12","0","12","49","45","0","12","18","28","15","24","16","26","36","42","36","42","0","12","36","39","18","28","0","12","0","12","0","12","0","12","18","28","0","12","37","42","0","12","37","42","0","12","0","12","0","12","0","12","48","66","48","66","0","12","0","12","1500000US530530730051","Block Group 1, Census Tract 730.05, Pierce County, Washington"
"925","345","577","238","109","105","19","30","0","12","19","30","30","33","0","12","30","33","0","12","60","95","0","12","0","12","0","12","60","95","0","12","0","12","0","12","57","51","22","35","0","12","0","12","0","12","35","39","0","12","0","12","78","95","0","12","78","95","278","169","108","141","120","99","50","42","55","50","23","36","32","34","0","12","348","146","180","115","95","101","0","12","95","101","0","12","0","12","0","12","0","12","71","52","37","32","0","12","34","39","0","12","14","24","14","24","0","12","100","93","0","12","0","12","0","12","0","12","14","21","55","89","31","50","68","55","20","29","48","45","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530730052","Block Group 2, Census Tract 730.05, Pierce County, Washington"
"312","168","126","107","21","33","21","33","21","33","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","72","92","0","12","72","92","0","12","33","43","24","39","9","16","0","12","186","126","66","52","39","43","39","43","0","12","0","12","0","12","0","12","0","12","27","31","0","12","0","12","27","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","60","54","20","32","40","44","0","12","0","12","0","12","0","12","60","94","60","94","0","12","0","12","1500000US530530730053","Block Group 3, Census Tract 730.05, Pierce County, Washington"
"683","233","301","134","115","72","81","65","64","58","17","27","34","43","0","12","34","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","31","33","0","12","31","33","15","24","16","24","0","12","0","12","0","12","0","12","0","12","0","12","87","108","0","12","15","25","72","107","68","53","19","30","32","29","17","30","382","222","238","136","38","64","18","29","20","35","51","64","21","34","15","25","15","26","119","104","0","12","0","12","119","104","0","12","30","35","16","26","14","22","87","101","72","97","0","12","0","12","0","12","15","23","0","12","0","12","38","46","16","26","22","37","0","12","0","12","0","12","0","12","19","29","19","29","0","12","0","12","1500000US530530730054","Block Group 4, Census Tract 730.05, Pierce County, Washington"
"1019","192","527","113","71","47","50","41","41","39","9","15","14","15","14","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","12","7","12","0","12","9","13","0","12","0","12","0","12","0","12","9","13","0","12","0","12","49","29","14","15","35","27","214","94","12","19","116","68","86","72","184","92","70","41","47","48","67","70","492","124","134","79","61","57","32","29","29","47","18","20","18","20","0","12","0","12","46","33","0","12","23","27","16","18","7","11","9","14","9","14","0","12","116","70","26","18","8","13","8","13","0","12","10","17","0","12","72","64","221","85","53","35","168","84","12","18","12","18","0","12","0","12","9","14","9","14","0","12","0","12","1500000US530530730061","Block Group 1, Census Tract 730.06, Pierce County, Washington"
"573","171","280","83","93","64","79","63","79","63","0","12","8","12","0","12","8","12","0","12","6","9","0","12","0","12","6","9","0","12","0","12","0","12","0","12","34","28","0","12","12","18","12","18","0","12","9","17","13","16","0","12","38","36","9","15","29","32","76","43","0","12","24","20","52","33","39","34","39","34","0","12","0","12","293","104","103","71","24","21","10","15","14","16","28","39","28","39","0","12","0","12","51","55","0","12","0","12","51","55","0","12","0","12","0","12","0","12","43","44","16","29","0","12","0","12","0","12","27","38","0","12","0","12","147","70","78","44","69","55","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US530530730062","Block Group 2, Census Tract 730.06, Pierce County, Washington"
