Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",id,Geographic Area Name
1146,262,1028,273,12,19,37,55,22,27,13,20,0,12,34,30,0,12,34,30,1500000US530530733023,"Block Group 3, Census Tract 733.02, Pierce County, Washington"
1221,251,1166,251,18,26,0,12,33,38,0,12,0,12,4,9,0,12,4,9,1500000US530530734041,"Block Group 1, Census Tract 734.04, Pierce County, Washington"
911,357,850,351,4,11,8,13,4,10,0,12,0,12,45,64,0,12,45,64,1500000US530530734042,"Block Group 2, Census Tract 734.04, Pierce County, Washington"
724,233,724,233,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530734043,"Block Group 3, Census Tract 734.04, Pierce County, Washington"
946,225,860,216,0,12,0,12,19,31,0,12,30,46,37,39,0,12,37,39,1500000US530530734044,"Block Group 4, Census Tract 734.04, Pierce County, Washington"
1901,277,1503,277,75,63,0,12,70,95,0,12,0,12,253,136,0,12,253,136,1500000US530530734045,"Block Group 5, Census Tract 734.04, Pierce County, Washington"
1961,314,1579,261,77,99,8,12,87,72,0,12,95,152,115,81,0,12,115,81,1500000US530530734051,"Block Group 1, Census Tract 734.05, Pierce County, Washington"
1560,277,1115,228,90,81,14,21,82,64,12,27,49,50,198,138,18,25,180,136,1500000US530530734052,"Block Group 2, Census Tract 734.05, Pierce County, Washington"
1878,483,1351,382,47,43,19,28,410,495,0,12,0,12,51,62,0,12,51,62,1500000US530530734061,"Block Group 1, Census Tract 734.06, Pierce County, Washington"
1326,299,1231,291,48,63,0,12,30,35,0,12,0,12,17,28,0,12,17,28,1500000US530530734062,"Block Group 2, Census Tract 734.06, Pierce County, Washington"
2271,479,1763,293,46,53,28,45,60,49,0,12,0,12,374,394,0,12,374,394,1500000US530530734063,"Block Group 3, Census Tract 734.06, Pierce County, Washington"
1295,287,1032,245,0,12,45,43,27,44,0,12,14,22,177,147,0,12,177,147,1500000US530530734071,"Block Group 1, Census Tract 734.07, Pierce County, Washington"
1036,275,986,270,0,12,0,12,0,12,0,12,0,12,50,49,0,12,50,49,1500000US530530734072,"Block Group 2, Census Tract 734.07, Pierce County, Washington"
1524,295,1308,285,33,51,8,14,26,24,0,12,0,12,149,99,5,9,144,100,1500000US530530734073,"Block Group 3, Census Tract 734.07, Pierce County, Washington"
2173,415,1976,384,5,8,30,35,0,12,0,12,100,114,62,53,9,15,53,49,1500000US530530734081,"Block Group 1, Census Tract 734.08, Pierce County, Washington"
975,186,869,181,0,12,0,12,0,12,106,136,0,12,0,12,0,12,0,12,1500000US530530734082,"Block Group 2, Census Tract 734.08, Pierce County, Washington"
971,206,843,212,28,42,32,49,2,4,0,12,36,52,30,41,0,12,30,41,1500000US530530734083,"Block Group 3, Census Tract 734.08, Pierce County, Washington"
1382,362,1209,262,0,12,0,12,0,12,0,12,0,12,173,229,49,71,124,159,1500000US530530735001,"Block Group 1, Census Tract 735, Pierce County, Washington"
1419,424,1159,357,0,12,76,175,0,12,0,12,0,12,184,153,0,12,184,153,1500000US530530735002,"Block Group 2, Census Tract 735, Pierce County, Washington"
945,435,755,249,8,15,14,32,46,80,0,12,0,12,122,162,0,12,122,162,1500000US530530735003,"Block Group 3, Census Tract 735, Pierce County, Washington"
999,431,843,325,0,12,52,94,0,12,0,12,0,12,104,108,0,12,104,108,1500000US530530735004,"Block Group 4, Census Tract 735, Pierce County, Washington"
1095,443,1041,450,0,12,0,12,0,12,0,12,36,60,18,30,0,12,18,30,1500000US530530735005,"Block Group 5, Census Tract 735, Pierce County, Washington"
1449,343,1370,341,0,12,0,12,79,105,0,12,0,12,0,12,0,12,0,12,1500000US530530735006,"Block Group 6, Census Tract 735, Pierce County, Washington"
1425,144,1053,136,61,36,15,19,157,39,0,12,0,12,139,48,15,18,124,49,1500000US530539400011,"Block Group 1, Census Tract 9400.01, Pierce County, Washington"
1257,165,1090,137,24,26,3,4,14,11,0,12,44,70,82,71,11,16,71,70,1500000US530539400012,"Block Group 2, Census Tract 9400.01, Pierce County, Washington"
1478,203,1220,205,33,22,5,7,162,84,0,12,6,9,52,25,2,5,50,25,1500000US530539400021,"Block Group 1, Census Tract 9400.02, Pierce County, Washington"
1097,175,541,97,173,95,26,27,149,74,102,93,27,25,79,45,3,5,76,44,1500000US530539400022,"Block Group 2, Census Tract 9400.02, Pierce County, Washington"
1213,191,810,130,75,46,20,20,138,72,3,5,10,14,157,94,0,12,157,94,1500000US530539400023,"Block Group 3, Census Tract 9400.02, Pierce County, Washington"
3333,287,1697,215,438,113,29,30,856,225,35,48,19,13,259,82,8,11,251,80,1500000US530539400031,"Block Group 1, Census Tract 9400.03, Pierce County, Washington"
1624,220,979,156,64,35,36,27,230,81,167,147,36,42,112,48,23,21,89,40,1500000US530539400032,"Block Group 2, Census Tract 9400.03, Pierce County, Washington"
2287,253,1513,212,276,166,78,47,92,50,201,141,34,23,93,46,0,12,93,46,1500000US530539400033,"Block Group 3, Census Tract 9400.03, Pierce County, Washington"
1416,348,1065,278,171,197,28,28,64,47,0,12,0,12,88,82,0,12,88,82,1500000US530539400041,"Block Group 1, Census Tract 9400.04, Pierce County, Washington"
492,141,454,141,13,19,0,12,0,12,8,11,0,12,17,25,0,12,17,25,1500000US530539400042,"Block Group 2, Census Tract 9400.04, Pierce County, Washington"
894,159,768,137,7,7,17,20,39,41,0,12,0,12,63,56,0,12,63,56,1500000US530539400043,"Block Group 3, Census Tract 9400.04, Pierce County, Washington"
938,179,800,144,33,29,11,11,16,14,10,16,0,12,68,43,24,37,44,29,1500000US530539400044,"Block Group 4, Census Tract 9400.04, Pierce County, Washington"
1335,190,1125,182,31,26,129,96,0,12,0,12,33,26,17,13,0,12,17,13,1500000US530539400045,"Block Group 5, Census Tract 9400.04, Pierce County, Washington"
1542,240,1395,235,35,54,27,37,46,64,0,12,20,18,19,17,0,12,19,17,1500000US530539400046,"Block Group 6, Census Tract 9400.04, Pierce County, Washington"
1655,229,1139,189,128,84,96,73,153,65,0,12,5,7,134,55,0,12,134,55,1500000US530539400051,"Block Group 1, Census Tract 9400.05, Pierce County, Washington"
2216,288,1444,287,154,76,42,53,279,86,22,34,128,149,147,65,14,24,133,59,1500000US530539400052,"Block Group 2, Census Tract 9400.05, Pierce County, Washington"
2189,227,1396,169,207,69,16,16,295,142,59,82,36,31,180,81,0,12,180,81,1500000US530539400053,"Block Group 3, Census Tract 9400.05, Pierce County, Washington"
1614,223,269,87,540,197,9,14,445,97,84,121,22,21,245,120,44,50,201,110,1500000US530539400061,"Block Group 1, Census Tract 9400.06, Pierce County, Washington"
1287,178,323,136,423,149,15,23,232,87,4,6,33,48,257,97,20,23,237,96,1500000US530539400062,"Block Group 2, Census Tract 9400.06, Pierce County, Washington"
815,206,268,95,33,27,115,90,163,117,80,84,64,90,92,72,0,12,92,72,1500000US530539400071,"Block Group 1, Census Tract 9400.07, Pierce County, Washington"
1207,264,552,111,176,104,182,120,45,39,5,7,149,172,98,59,13,20,85,54,1500000US530539400072,"Block Group 2, Census Tract 9400.07, Pierce County, Washington"
1236,210,445,120,88,48,225,104,166,89,70,75,106,92,136,72,13,19,123,72,1500000US530539400073,"Block Group 3, Census Tract 9400.07, Pierce County, Washington"
2690,250,1801,214,214,113,18,16,422,149,19,21,35,38,181,76,30,35,151,65,1500000US530539400081,"Block Group 1, Census Tract 9400.08, Pierce County, Washington"
2025,232,1260,221,106,63,7,10,429,164,13,15,20,20,190,105,0,12,190,105,1500000US530539400082,"Block Group 2, Census Tract 9400.08, Pierce County, Washington"
1335,120,996,118,66,62,7,9,173,44,5,8,7,10,81,46,0,12,81,46,1500000US530539400083,"Block Group 3, Census Tract 9400.08, Pierce County, Washington"
1876,223,1645,220,61,43,3,5,87,53,0,12,20,20,60,43,0,12,60,43,1500000US530539400091,"Block Group 1, Census Tract 9400.09, Pierce County, Washington"
1002,183,908,172,6,9,0,12,16,17,0,12,0,12,72,77,0,12,72,77,1500000US530539400092,"Block Group 2, Census Tract 9400.09, Pierce County, Washington"
2023,449,1661,379,72,63,0,12,58,80,10,15,178,239,44,48,0,12,44,48,1500000US530539400101,"Block Group 1, Census Tract 9400.10, Pierce County, Washington"
1565,267,1446,264,19,26,21,23,40,33,0,12,26,30,13,20,0,12,13,20,1500000US530539400102,"Block Group 2, Census Tract 9400.10, Pierce County, Washington"
591,189,574,190,0,12,1,3,0,12,0,12,0,12,16,15,0,12,16,15,1500000US530539400103,"Block Group 3, Census Tract 9400.10, Pierce County, Washington"
1657,185,1164,159,59,42,6,9,336,125,0,12,18,12,74,34,5,6,69,33,1500000US530539400111,"Block Group 1, Census Tract 9400.11, Pierce County, Washington"
1728,166,1205,148,38,44,0,12,326,97,0,12,10,10,149,57,0,12,149,57,1500000US530539400112,"Block Group 2, Census Tract 9400.11, Pierce County, Washington"
972,104,830,103,27,22,1,4,51,27,0,12,3,5,60,35,23,32,37,26,1500000US530539400113,"Block Group 3, Census Tract 9400.11, Pierce County, Washington"
