OBJECTID,PropertyID,ParkType,ParkClass,Address,PostalCity,ZIPCode,Owner,Manager,ParkHours,AcresImproved,AcresUnimproved,ParkWebLink,IsPublicAccessible,Maplabel,GISAcres,Name,AltWebLink,RESTROOM,ADACOMPLY,PARKING,PAVED_TRAIL,UNPAVED_TRAIL,TRAILHEAD,COMMUNITY_CENTER,PICNIC,PLAYGROUND,DOG_PARK,BASEBALL,BASKETBALL,MULTIPURPOSE,GOLF,BEACH,FISHING,BOAT_LAUNCH,SKATE,TENNIS,BMX,CLIMBING,EQUESTRIAN,DISC_GOLF,ICE_RINK,QTR_MIDGET_TRACK,PARKSIZE,DESCRIPTION,VisibleInApp,Camping,SHAPE_Length,SHAPE_Area
171,280,Pier,Local,McCarver and Ruston Way,Tacoma,98402,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0.96,0,http://www.metroparkstacoma.org/old-town-dock,1,Old Town Dock,2.74977574,Old Town Dock, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1452.07641314165,119779.74051015
172,281,Park,Local,2350 N 30th ST,Tacoma,98403,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,1.21,0,http://www.metroparkstacoma.org/old-town-park,1,Old Town Park,1.21356434,Old Town Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1080.602966222,52862.6594806871
173,282,Park,Local,1330 N James St,Tacoma,98406,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,2.65,0,http://www.metroparkstacoma.org/optimist-park,1,Optimist Park,2.65414434,Optimist Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2362.83348793549,115614.057186565
174,283,Trail Head,Local,Corner of Washington Ave N and Calistoga St W,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),7.17,0,http://www.cityoforting.org/Parks___Recreation.php,1,Orting City Park,4.07192705,Orting City Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3417.06766005558,177372.431225797
176,285,Park,Trail,N ALDER WAY & N LAWRENCE ST,Tacoma,98407,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0,3.98,http://www.metroparkstacoma.org/page.php?id=606,1,Puget Creek Natural Area,1480.82919912,Puget Creek Natural Area, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,10042.0095505971,1593944.86728275
177,289,Park,Local,10301 Bujacich Rd NW,Gig Harbor,98332,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,7 am to dusk,,109.74,https://penmetparks.org/parks/mccormick-forest-park/,1,McCormick Forest Park,109.74,McCormick Forest Park, ,yes, , , ,yes, , ,yes, , , , , , , , , , , , , , , , , ,109, ,No, ,17220.1398800433,4556493.18404268
179,292,Skate Park,Local,1299 4th Street NW,Puyallup,98371,City of Puyallup,City of Puyallup,8 am - 9 pm Sunday - Thursday8 am - 11pm Friday & Saturday,0.5,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/puyallup-skatepark/,1,Puyallup Skate Park,3.00475822,Puyallup Skate Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1508.03084151379,130886.748974889
180,293,Rec Area,Regional,820 Valley Avenue NW,Puyallup,98371,City of Puyallup,City of Puyallup,8 am - 11:00 pm (seasonal),24.94,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/puyallup-valley-sports-complex/,1,Puyallup Valley Sports Complex,25.14713044,Puyallup Valley Sports Complex, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4867.25156581739,1095437.18715409
181,295,Park,Local,2610 Cherokee Blvd,Puyallup,98374,City of Puyallup,City of Puyallup,8 am to Dusk,7.35,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/rainer-woods-park/,1,Rainier Woods Park,7.78496599,Rainier Woods Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3762.51158550085,339057.133638423
183,298,Park,Local,1301 E 34TH ST,Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,2.3416,0,http://www.metroparkstacoma.org/rogers-park,1,Rogers Park,2.34668696,Rogers Park,http://www.metroparkstacoma.org/files/library/bf990d213f8806ec.pdf, , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1281.39984606897,102221.288120898
184,299,Park,Local,3601 E Roosevelt Ave,Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,13.47,0,http://www.metroparkstacoma.org/roosevelt-park,1,Roosevelt Park,13.86107247,Roosevelt Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5803.25754348467,603783.442378855
185,300,Rec Center,Special Use,86th Avenue NW,Gig Harbor,98332,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,7 am to dusk,2,0,http://www.penmetparks.org/26501/27785.html,1,Rosedale Park,2.19376457,Rosedale Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1837.35934959123,95560.0006982055
186,302,Park,Local,[900-999] Main St,Sumner,98390,City of Sumner,City of Sumner,8 am to 10 pm,2.3312,0,http://www.ci.sumner.wa.us/Living/Heritage_Park.htm,1,Rueben Knoblauch Heritage Park,0.44826239,Rueben Knoblauch Heritage Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,626.517633508267,19526.2324335144
187,303,Park,Local,5309 N Commercial St,Ruston,98407,City of Ruston,City of Ruston,Dawn to Dusk,1.8739,0,http://www.rustonwa.org/services/parks/rust-park,1,Rust Park,6.172282,Rust Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2171.12468402216,268863.522287554
188,305,Park,Regional, ,Tacoma,98402,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,28.0153,0,http://www.metroparkstacoma.org/ruston-way,1,Ruston Way,11.22055216,Ruston Way, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,7466.86996826066,488765.278385505
189,306,Community Center,Local,1228 Main Street,Sumner,98390,City of Sumner,Sumner Historical Society,Summer Hours Only Sat/Sunday 1-4pm,0.418,0,http://www.ci.sumner.wa.us/Living/Ryan_House.htm,1,Ryan House,0.41874035,Ryan House, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,550.907699879366,18240.2566872267
190,307,Beach,Local,91 Champion St,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,1.1,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#saltars_point,1,Saltar's Point Beach,0.92458952,Saltar's Point Beach, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1807.39673518624,40280.2158977347
191,308,Park,Local,1621 10th Ave NW,Puyallup,98371,City of Puyallup,City of Puyallup,8 am to Dusk,5.69,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/sam-peach-park/,1,Sam Peach Park,5.59942387,Sam Peach Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2173.61333733831,243908.764452159
192,309,Park,Local,3315 S Sawyer St,Tacoma,98418,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0.505,0,http://www.metroparkstacoma.org/sawyer-tot-lot,1,Sawyer Tot Lot,0.49783725,Sawyer Tot Lot, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,614.386784356094,21685.7062302741
194,312,Park,Local,10123 78TH AVE NW,Gig Harbor,98332,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,7 am to dusk,98,0,https://penmetparks.org/parks/sehmel-homestead-park/,1,Sehmel Homestead Park,97.19946384,Sehmel Homestead Park, ,yes,yes,yes,yes,yes, ,yes,yes,yes, ,yes,yes,yes, , , , , ,yes, , , , , , ,98, ,No, ,9672.18473071038,4233991.68048542
195,313,Park,Local,1602 Bonney Ave,Sumner,98390,City of Sumner,City of Sumner,Per City Rules,2.3,0,http://www.ci.sumner.wa.us/Living/Seibenthaler.htm,1,Seibenthaler Park,2.33831089,Seibenthaler Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1677.13348092847,101856.425820861
196,315,Community Center,Special Use,2534 Grandview Drive West,University Place,98466,City of University Place,City of University Place,Monday through Friday 8 AM to 5 PM,0.5,0,http://cityofup.com/Page97.aspx,1,Senior Center- University Place,0.11101253,Senior Center (University Place), , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,313.134395065744,4835.68790367866
197,316,Park,Local,2347 S Sheridan Ave,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk (unless otherwise posted),0.4906,0,http://www.metroparkstacoma.org/sheridan-park,1,Sheridan Park,0.56743487,Sheridan Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,640.064166001288,24717.3635743747
198,318,Park,Regional,1919 S Tyler St,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Park: Dawn to Dusk | Tacoma Nature Center M-F(8am-5pm) Sat (10am-4pm),67.5123,0,http://www.metroparkstacoma.org/tacomanaturecenter,1,Tacoma Nature Center,70.4368951,Tacoma Nature Center, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,15463.8823975979,3068296.16966577
200,321,Wildlife Habitat,Local,12414 Claussen Rd AI,Anderson Island,98303,Anderson Island Park District,Anderson Island Park District,7 am to 10:30 pm,0,11.7,http://www.andersonislandparks.org/Andy_s_Marine_Park.html,1,Andy's Marine Park,88.4329159,Andy's Marine Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,10859.4222014079,3852122.40351166
201,322,Community Center,Local,7802 South L Street,Tacoma,98408,City of Tacoma,Metro Parks Tacoma,Hours vary - see www.metroparkstacoma.org,2.75,0, ,1,South End Neighborhood Center,2.73068555,South End Neighborhood Center,http://www.metroparkstacoma.org/page.php?id=630, , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1728.6602761142,118948.189963419
202,323,Rec Area,Regional,6002 S Adams St,Tacoma,98409,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,39.91,0,http://www.metroparkstacoma.org/sera-campus-south-end-receation,1,SERA Campus South End Recreation & Adventure,59.7990332,SERA Campus (South End Recreation & Adventure), , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,8134.25259803522,2604827.64976829
203,324,Park,Local,86th Ave E & 144th St E,Puyallup,98373,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,39.51,0,https://www.co.pierce.wa.us/1334/South-Hill-Community-Park,1,South Hill Community Park,39.5123984,South Hill Community Park, ,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,39.56,"The South Hill Community Park is a 40-acre site which includes, bathrooms, playground, picnic tables, multipurpose sports fields and a network of paved meandering trails, South Hill Loop Trail and Nathan Chapman Memorial Trail.",Yes, ,5248.08463225685,1721153.15364925
204,325,Park,Local,4851 S Tacoma Way,Tacoma,98409,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,14.5,0,http://www.metroparkstacoma.org/south-park,1,South Park,15.35343554,South Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,9350.03569682883,668792.990868928
205,326,Wildlife Habitat,Special Use,7801 Phillips Rd,Lakewood,98498,State of Washington,State of Washington,Closed during hours of darkness,0,86.28,http://wdfw.wa.gov/lands/wildlife_areas/south_puget_sound/South%20Puget%20Sound/,1,South Puget Sound Unit,86.04644393,South Puget Sound Unit, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,11710.3346903392,3748157.54692971
206,327,Park,Local,12601 ADDISON ST SW,Lakewood,98499,City of Lakewood,City of Lakewood,"7:30am - 9:00pm or sunset, whichever comes first",3.52,0,http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks,1,Springbrook Park,3.271341,Springbrook Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1649.62932179594,142499.043540266
207,328,Playfield,Local,1712 S 19th St,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,6.8066,0,http://www.metroparkstacoma.org/stanley-playfield,1,Stanley Playfield,6.80667282,Stanley Playfield, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2449.98472893502,296497.44360514
208,329,Rec Area,Local,"402 E 56th St, E 60th St At E B St",Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,22.89,0,http://www.metroparkstacoma.org/stewart-heights-park,1,Stewart Heights Park,24.08287043,Stewart Heights Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,5315.07456190412,1049045.61799656
209,332,Golf,Regional,14802 8th St. E.,Sumner,98390,City of Sumner,City of Sumner,Sun-Sat Daylight to Dark,141.12,0,http://www.golfsumnermeadows.com/index.php,1,Sumner Meadows Golf Links,158.15368845,Sumner Meadows Golf Links, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,16050.9663579031,6889181.14339878
210,333,Beach,Local,2509 Chambers Creek Road,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,12.475,0, ,1,Sunnyside Beach,8.60733166,Sunnyside Beach, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,6838.74360699198,374939.242078024
211,334,Park,Local,Seaview and South 19th St,University Place,98466,City of University Place,City of University Place,Dawn to Dusk,2,0,http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf,1,Sunset Terrace,2.04825797,Sunset Terrace, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1216.37729014065,89221.7640957642
212,335,Park,Undeveloped Sites,2730 Pioneer Way E,Tacoma,98404,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0,213.3999,http://www.metroparkstacoma.org/swan-creek-park,1,Swan Creek Park- Metro,248.75997314,Swan Creek Park- Metro, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,61710.0863625842,10835875.08318
213,336,Undeveloped,Special Use,2954 Pioneer Way East,Tacoma,98404,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk,0,40, ,1,Swan Creek Park- Pioneer Way,40,Swan Creek Park - Pioneer Way (Pierce County), ,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40,This undeveloped park includes a gravel parking lot and soft surface nature trails along Swan Creek. Trails connect to Metro Parks Swan Creek Park nature trails.,Yes, ,7529.96430681452,1734327.65520479
215,339,Park,Local,405 Dock St,Tacoma,98402,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,2.9782,0,http://www.metroparkstacoma.org/theas-park,1,Thea's Park,2.92871615,Thea's Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1807.74570458921,127559.006025743
216,341,Community Center,Special Use,8425 6th Ave,Tacoma,98465,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,76.1318,0,http://www.metroparkstacoma.org/titlow-park,1,"Titlow Park, Community Center and Lodge",86.88118931,"Titlow Park, Community Center and Lodge", , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,17151.8313036357,3784541.78785664
217,343,Beach,Regional,3rd Avenue Fi & 3rd Court Fi (Fox Island Bridge),Fox Island,98333,U.S. Federal Government,U.S. Federal Government,Dawn to Dusk,0.33,0, ,1,Towhead Island Boat Launch,0.32345282,Towhead Island Boat Launch,http://www.foxislandwa.net/boat_launch.htm, , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,461.818421795864,14087.0916160031
219,346,Park,Local,1101 MILTON WY,Milton,98354,City of Milton,City of Milton,Dawn to Dusk (unless otherwise posted),7.0527,0,http://www.cityofmilton.net/page.php?id=97,1,Milton Community Park,9.09294626,Milton Community Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3240.33487083198,396087.184121686
220,348,Park,Resource Conservancy,2300 N 29th St,Tacoma,98407,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0,6.3668,http://www.metroparkstacoma.org/ursich-park,1,Ursich Park,6.381512,Ursich Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,4687.4237899684,277977.568243922
221,349,Park,Local,6100 N 37th,Tacoma,98407,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,16.79,0,http://www.metroparkstacoma.org/vassault-park,1,Vassault Park,16.95998059,Vassault Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3693.58813104965,738866.883580711
222,352,Park,Local,5514 Key Peninsula Hwy N,Lakebay,98349,Key Pen Parks,Key Pen Parks,8 am to Dusk,20.76,0,http://www.keypenparks.com/volunteer-park.htm,1,Volunteer Park,20.76,Volunteer Park, ,Yes, ,Yes,Yes, , , ,Yes,Yes, ,Yes,Yes, , , , , ,Yes, , , , ,Yes, , ,20.76, ,No, ,4122.86090675897,900601.41180886
225,356,Park,Regional,6500 S Sheridan Av,Tacoma,98408,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,85.0535,0,http://www.metroparkstacoma.org/wapato-park,1,Wapato Park,90.10284706,Wapato Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,10017.6775386708,3924864.29494536
